skills:[[6, 4, 2], [-1, 2, 3], [2, -1, 1]], reward:10.6, epsilon:1.0
skills:[[0, 4, 0], [-1, 2, 0], [0, 6, 2]], reward:8.0, epsilon:1.0
skills:[[-1, 3, -1], [0, 2, 7], [1, 2, 2]], reward:9.1, epsilon:1.0
skills:[[6, 6, -1], [4, 1, -1], [1, -1, 7]], reward:8.4, epsilon:1.0
skills:[[2, 6, 7], [5, -1, 5], [6, 5, 3]], reward:12.1, epsilon:1.0
skills:[[0, 1, -1], [0, 4, 5], [-1, 5, 0]], reward:12.6, epsilon:1.0
skills:[[3, 0, 2], [5, 0, 6], [0, 2, 1]], reward:9.4, epsilon:1.0
skills:[[4, 5, 7], [2, 3, 1], [1, -1, 3]], reward:9.8, epsilon:1.0
skills:[[2, 4, 5], [3, 6, 2], [0, 3, 7]], reward:6.8, epsilon:1.0
skills:[[4, 5, 6], [5, 0, 3], [4, 5, 7]], reward:7.0, epsilon:1.0
skills:[[1, -1, 7], [-1, 2, -1], [7, -1, 0]], reward:8.9, epsilon:1.0
skills:[[7, 3, 6], [5, 0, -1], [1, 5, 7]], reward:8.0, epsilon:1.0
skills:[[6, 2, 3], [6, 5, 0], [3, -1, 2]], reward:7.5, epsilon:1.0
skills:[[0, 1, 7], [7, 6, 7], [3, 6, 0]], reward:6.1, epsilon:1.0
skills:[[0, 3, 5], [4, 6, 1], [-1, 0, -1]], reward:9.6, epsilon:1.0
skills:[[5, 4, 7], [-1, 3, 4], [3, 7, 1]], reward:9.7, epsilon:1.0
skills:[[-1, 3, 5], [5, 1, 6], [7, 3, 3]], reward:7.1, epsilon:1.0
skills:[[5, 7, 3], [7, -1, 7], [0, 7, 3]], reward:7.9, epsilon:1.0
skills:[[7, 7, 4], [2, 2, -1], [4, 6, 0]], reward:7.2, epsilon:1.0
skills:[[6, 1, 3], [6, 4, 2], [5, 0, 7]], reward:11.9, epsilon:1.0
skills:[[3, 2, 4], [-1, 0, 6], [4, -1, 2]], reward:7.9, epsilon:1.0
skills:[[7, 1, 4], [7, -1, 5], [-1, 0, 4]], reward:8.6, epsilon:1.0
skills:[[6, 3, 2], [6, -1, 5], [3, 0, 3]], reward:11.3, epsilon:1.0
skills:[[4, 6, 1], [-1, 7, 3], [5, 7, 7]], reward:9.1, epsilon:1.0
skills:[[3, 5, 4], [6, 5, 6], [6, 1, 6]], reward:12.2, epsilon:1.0
skills:[[2, 4, 7], [5, 6, -1], [-1, 1, 2]], reward:9.4, epsilon:1.0
skills:[[5, 1, 7], [-1, 2, 4], [4, 4, 7]], reward:8.2, epsilon:1.0
skills:[[-1, 0, 7], [0, 0, 0], [-1, 7, -1]], reward:9.8, epsilon:1.0
skills:[[7, 7, 7], [3, 2, 6], [7, 5, 4]], reward:7.1, epsilon:1.0
skills:[[4, 1, 0], [1, 4, 0], [7, 4, 4]], reward:11.4, epsilon:1.0
skills:[[0, 3, 6], [5, 1, 2], [0, 3, 5]], reward:8.1, epsilon:1.0
skills:[[5, 3, 7], [4, 2, 2], [5, 4, -1]], reward:7.9, epsilon:1.0
skills:[[-1, 6, -1], [5, 0, 7], [6, -1, 4]], reward:7.1, epsilon:1.0
skills:[[6, 2, -1], [2, 5, 0], [4, 4, 7]], reward:9.1, epsilon:1.0
skills:[[5, 2, 0], [6, 5, 0], [5, -1, 2]], reward:9.9, epsilon:1.0
skills:[[7, 6, -1], [5, 7, 3], [4, 6, 4]], reward:8.5, epsilon:1.0
skills:[[2, 6, 2], [7, 3, 4], [1, 2, 0]], reward:9.9, epsilon:1.0
skills:[[7, 7, 5], [4, 2, 5], [-1, 5, -1]], reward:8.8, epsilon:1.0
skills:[[4, 2, 3], [-1, -1, 0], [6, 1, -1]], reward:7.2, epsilon:1.0
skills:[[-1, 5, 5], [0, 7, 5], [4, -1, -1]], reward:7.6, epsilon:1.0
skills:[[6, 5, 3], [0, 3, 5], [2, 1, 0]], reward:10.8, epsilon:1.0
skills:[[1, 5, 2], [-1, 5, 6], [5, 6, -1]], reward:-1.0, epsilon:1.0
skills:[[0, -1, 6], [-1, 1, -1], [1, 2, 1]], reward:7.3, epsilon:1.0
skills:[[-1, 7, 3], [3, 4, -1], [7, 0, 3]], reward:12.1, epsilon:1.0
skills:[[7, 0, 0], [6, 1, 2], [5, 5, 0]], reward:6.4, epsilon:1.0
skills:[[4, 6, 4], [3, 5, 4], [6, 1, 6]], reward:8.9, epsilon:1.0
skills:[[7, 0, 7], [6, 3, 2], [3, 7, 0]], reward:8.9, epsilon:1.0
skills:[[1, -1, 1], [4, 5, -1], [6, 1, 7]], reward:9.4, epsilon:1.0
skills:[[6, 2, 5], [1, 0, 5], [-1, 3, 3]], reward:9.2, epsilon:1.0
skills:[[1, 4, 0], [7, 4, 7], [3, -1, 0]], reward:17.2, epsilon:1.0
skills:[[0, 5, 4], [2, 5, -1], [6, 6, 5]], reward:7.6, epsilon:1.0
skills:[[1, 7, 4], [5, 3, 0], [-1, 0, 0]], reward:12.5, epsilon:1.0
skills:[[7, 7, -1], [0, 7, 4], [4, 6, 5]], reward:10.4, epsilon:1.0
skills:[[4, 0, 5], [7, 6, 7], [5, 4, 2]], reward:7.2, epsilon:1.0
skills:[[2, 3, 2], [0, 1, 7], [3, 2, 2]], reward:8.3, epsilon:1.0
skills:[[6, 5, 5], [2, -1, 6], [2, 2, 5]], reward:5.9, epsilon:1.0
skills:[[6, 3, 1], [0, 4, 0], [7, 2, 3]], reward:8.5, epsilon:1.0
skills:[[2, 2, -1], [3, 5, 7], [-1, 5, 7]], reward:6.4, epsilon:1.0
skills:[[4, 3, 3], [3, 5, 1], [3, 5, 5]], reward:14.6, epsilon:1.0
skills:[[5, 0, 6], [2, 0, 2], [6, -1, 6]], reward:9.3, epsilon:1.0
skills:[[3, 7, 0], [5, -1, 2], [5, -1, 3]], reward:7.8, epsilon:1.0
skills:[[1, 2, 2], [6, -1, -1], [4, -1, 5]], reward:8.4, epsilon:1.0
skills:[[3, 0, 2], [3, 5, 0], [7, -1, 4]], reward:8.7, epsilon:1.0
skills:[[-1, 4, 6], [7, 1, -1], [-1, -1, 5]], reward:5.9, epsilon:1.0
skills:[[6, 7, 2], [-1, 7, 3], [0, 5, 2]], reward:7.4, epsilon:1.0
